MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
2011-01-01T08:00:00Z,Secchi,NA,52,56,68,84,58,80,116,52,70,60,36,56,80,48
2011-02-01T08:00:00Z,Secchi,NA,56,56,48,84,60,92,32,64,70,44,50,60,136,110
2011-03-01T08:00:00Z,Secchi,NA,56,72,76,84,80,92,100,76,90,60,44,72,124,84
2011-04-01T07:00:00Z,Secchi,NA,46,56,88,92,80,108,176,68,64,60,32,68,120,78
2011-05-01T07:00:00Z,Secchi,NA,84,60,104,136,72,140,128,88,40,28,44,72,140,88
2011-06-01T07:00:00Z,Secchi,NA,80,64,88,160,72,156,200,92,96,28,44,72,116,60
2011-07-01T07:00:00Z,Secchi,NA,64,60,92,120,72,128,180,72,92,52,28,52,108,48
2011-08-01T07:00:00Z,Secchi,NA,96,60,60,112,72,120,200,68,104,60,16,60,116,64
2011-09-01T07:00:00Z,Secchi,NA,84,68,88,196,96,192,284,64,100,68,52,76,148,84
2011-10-01T07:00:00Z,Secchi,NA,184,40,96,208,NA,184,344,64,180,80,32,60,200,92
2011-11-01T07:00:00Z,Secchi,NA,208,52,52,104,56,120,320,64,100,60,44,76,236,112
2011-12-01T08:00:00Z,Secchi,NA,102,52,64,140,64,156,204,64,112,80,36,44,254,108
2012-01-01T08:00:00Z,Secchi,NA,92,48,52,152,72,144,208,72,84,60,68,56,276,248
2012-02-01T08:00:00Z,Secchi,NA,52,28,48,100,44,96,168,32,100,60,32,42,200,52
2012-03-01T08:00:00Z,Secchi,NA,120,36,44,104,56,108,184,40,40,18,28,44,160,96
2012-04-01T07:00:00Z,Secchi,NA,44,32,40,88,80,80,124,44,68,52,24,28,140,136
2012-05-01T07:00:00Z,Secchi,NA,100,28,52,120,84,112,152,52,76,44,16,24,140,96
2012-06-01T07:00:00Z,Secchi,NA,96,28,56,96,52,140,164,48,64,60,28,44,160,64
2012-07-01T07:00:00Z,Secchi,NA,80,52,52,104,52,140,200,40,76,64,28,68,180,104
2012-08-01T07:00:00Z,Secchi,NA,120,40,60,104,136,180,200,36,104,60,52,52,200,120
2012-09-01T07:00:00Z,Secchi,NA,280,40,62,124,60,164,350,56,120,80,64,56,200,140
2012-10-01T07:00:00Z,Secchi,NA,204,72,72,112,44,152,274,52,176,84,64,80,288,232
2012-11-01T07:00:00Z,Secchi,NA,212,60,56,140,48,180,308,84,140,84,72,64,362,196
2012-12-01T08:00:00Z,Secchi,NA,20,24,16,44,22,52,180,22,92,48,16,20,120,56
2013-01-01T08:00:00Z,Secchi,NA,80,52,40,48,72,64,72,60,92,64,60,48,104,76
2013-02-01T08:00:00Z,Secchi,NA,100,36,84,124,84,120,168,46,112,60,30,46,160,232
