MonthYear,Analyte,C10A,C3A,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
1990-11-01T08:00:00Z,DissAmmonia,0.02,0.4,0.13,0.05,0.04,0.08,0.1,0.07,0.06,0.04,0.12
1990-12-01T08:00:00Z,DissAmmonia,0.16,0.38,0.19,0.1,0.13,NA,0.14,0.16,0.16,0.07,0.09
1991-01-01T08:00:00Z,DissAmmonia,0.1,0.36,0.25,0.2,0.19,NA,0.17,0.21,0.21,0.14,0.49
1991-02-01T08:00:00Z,DissAmmonia,0.09,0.44,0.28,0.12,0.19,0.1,0.16,0.22,0.21,0.02,1.6
1991-03-01T08:00:00Z,DissAmmonia,0.315,0.24,0.21500000000000002,0.13,0.17,0.225,0.23,0.16499999999999998,0.16,0.355,1.85
1991-04-01T08:00:00Z,DissAmmonia,0.034999999999999996,0.305,0.16999999999999998,0.08499999999999999,0.09,0.05,0.095,0.1,0.1,0.1,0.49
1991-05-01T07:00:00Z,DissAmmonia,NA,0.425,0.13,0.015,0.06,0.065,0.08,0.09,0.08499999999999999,0.025,0.515
1991-06-01T07:00:00Z,DissAmmonia,NA,0.26,0.1,0.025,0.065,0.09,0.07500000000000001,0.07,0.07,0.045,0.065
1991-07-01T07:00:00Z,DissAmmonia,NA,0.3,0.08,0.03,0.05,0.05,0.06,0.05,0.04,0.03,0.04
1991-08-01T07:00:00Z,DissAmmonia,0.02,0.245,0.15000000000000002,0.04,0.06999999999999999,0.04,0.125,NA,NA,0.08,0.085
1991-09-01T07:00:00Z,DissAmmonia,NA,0.42,0.21000000000000002,0.035,0.035,0.09,0.08,0.02,0.03,0.045,0.07
1991-10-01T07:00:00Z,DissAmmonia,0.01,0.56,0.105,0.03,0.025,0.03,0.02,NA,NA,0.035,0.205
1991-11-01T08:00:00Z,DissAmmonia,0.02,0.4,0.19,0.05,0.06,0.08,0.07,0.06,0.07,0.04,0.6
1991-12-01T08:00:00Z,DissAmmonia,0.06,0.42,0.19,0.07,0.13,0.08,0.11,0.11,0.12,0.04,0.87
1992-01-01T08:00:00Z,DissAmmonia,0.29,0.32,0.21,0.18,0.2,0.11,0.15,0.17,0.14,0.1,0.38
1992-02-01T08:00:00Z,DissAmmonia,0.21,0.14,0.16,0.24,0.11,0.12,0.16,0.14,0.14,0.24,0.74
1992-03-01T08:00:00Z,DissAmmonia,0.05,0.26,0.12000000000000001,0.065,0.13,0.06,0.1,0.11,0.115,0.115,0.7000000000000001
1992-04-01T08:00:00Z,DissAmmonia,NA,0.28,0.07500000000000001,0.02,0.07,0.035,0.08,0.09,0.08,0.025,0.915
